element,state,source,mass,s,n
Z,aq,CWM89,0,-15.6166348,1
O,gas,CWM89,15.9994,49.03250478,2
H,gas,CWM89,1.00794,31.2332696,2
He,gas,CWM89,4.0026,30.15129063,1
Ne,gas,CWM89,20.179,34.97323136,1
Ar,gas,CWM89,39.948,37.00908222,1
Kr,gas,CWM89,83.8,39.21725621,1
Xe,gas,CWM89,131.29,40.55568834,1
F,gas,CWM89,18.9984,48.46821224,2
Cl,gas,CWM89,35.453,53.31763862,2
Br,liq,CWM89,79.904,36.3790631,2
I,cr,CWM89,126.9045,27.7581262,2
S,cr,CWM89,32.06,7.661089866,1
N,gas,CWM89,14.0067,45.7956501,2
P,cr,CWM89,30.97376,9.820745698,1
C,cr,CWM89,12.011,1.371892925,1
Si,cr,CWM89,28.0855,4.495697897,1
Ge,cr,CWM89,72.59,7.430688337,1
Sn,cr,CWM89,118.69,12.23231358,1
Pb,cr,CWM89,207.2,15.4875717,1
B,cr,CWM89,10.81,1.410133843,1
Al,cr,CWM89,26.98154,6.763862333,1
Zn,cr,CWM89,65.38,9.949808795,1
Cd,cr,CWM89,112.41,12.38049713,1
Hg,liq,CWM89,200.59,18.14053537,1
Cu,cr,CWM89,63.546,7.923040153,1
Ag,cr,CWM89,107.8682,10.16969407,1
Ti,cr,CWM89,47.88,7.342256214,1
U,cr,CWM89,238.0289,11.99808795,1
Th,cr,CWM89,232.0381,12.38049713,1
Be,cr,CWM89,9.01218,2.270554493,1
Mg,cr,CWM89,24.305,7.8083174,1
Ca,cr,CWM89,40.08,9.940248566,1
Li,cr,CWM89,6.941,6.959847036,1
Na,cr,CWM89,22.98977,12.26099426,1
K,cr,CWM89,39.0983,15.45889101,1
Rb,cr,CWM89,85.4678,18.35086042,1
Cs,cr,CWM89,132.9054,20.37045889,1
O,gas,WEP+82,15.9994,49.0291587,2
H,gas,WEP+82,1.008,31.23422562,2
He,gas,WEP+82,4.0026,30.15057361,1
Ne,gas,WEP+82,20.183,34.97323136,1
Ar,gas,WEP+82,39.948,37.0083652,1
Kr,gas,WEP+82,83.8,39.2165392,1
Xe,gas,WEP+82,131.3,40.55521033,1
Rn,gas,WEP+82,222,42.11520076,1
F,gas,WEP+82,18.9984,48.46558317,2
Cl,gas,WEP+82,35.453,53.31405354,2
Br,liq,WEP+82,79.909,36.38408222,2
I,cr,WEP+82,126.9044,27.75693117,2
At,cr,WEP+82,210,,2
S,cr,WEP+82,32.064,7.600382409,1
Se,cr,WEP+82,78.96,10.14388145,1
Te,cr,WEP+82,127.6,11.88097514,1
Po,cr,WEP+82,210,,1
N,cr,WEP+82,14.0067,45.7958891,2
P,cr,WEP+82,30.9738,9.820745698,1
As,cr,WEP+82,74.9216,8.389101338,1
Sb,cr,WEP+82,121.75,10.92017208,1
Bi,cr,WEP+82,208.98,13.56118547,1
C,cr,WEP+82,12.0112,1.371892925,1
Si,cr,WEP+82,28.086,4.500478011,1
Ge,cr,WEP+82,72.59,7.430688337,1
Sn,cr,WEP+82,118.69,12.3207457,1
Pb,cr,WEP+82,207.19,15.48996176,1
B,cr,WEP+82,10.811,1.400573614,1
Al,cr,WEP+82,26.9815,6.771032505,1
Ga,cr,WEP+82,69.72,9.770554493,1
In,cr,WEP+82,114.82,13.81931166,1
Tl,cr,WEP+82,204.37,15.33938815,1
Zn,cr,WEP+82,65.37,9.949808795,1
Cd,cr,WEP+82,112.4,12.3709369,1
Hg,liq,WEP+82,200.59,18.16921606,1
Cu,cr,WEP+82,63.54,7.923040153,1
Ag,cr,WEP+82,107.87,10.16969407,1
Au,cr,WEP+82,196.967,11.32887189,1
Ni,cr,WEP+82,58.71,7.139101338,1
Co,cr,WEP+82,58.9332,7.179732314,1
Fe,cr,WEP+82,55.847,6.520076482,1
Pd,cr,WEP+82,106.4,8.979445507,1
Rh,cr,WEP+82,102.905,7.531070746,1
Ru,cr,WEP+82,101.07,6.818833652,1
Pt,cr,WEP+82,195.09,9.949808795,1
Ir,cr,WEP+82,192.2,8.479923518,1
Os,cr,WEP+82,190.2,7.791586998,1
Mn,cr,WEP+82,54.938,7.650573614,1
Tc,cr,WEP+82,98.906,,1
Re,cr,WEP+82,186.2,8.809751434,1
Cr,cr,WEP+82,51.996,5.681166348,1
Mo,cr,WEP+82,95.94,6.849904398,1
W,cr,WEP+82,183.85,7.801147228,1
V,cr,WEP+82,50.942,6.909655832,1
Nb,cr,WEP+82,92.906,8.699808795,1
Ta,cr,WEP+82,180.948,9.921128107,1
Ti,cr,WEP+82,47.9,7.320745698,1
Zr,cr,WEP+82,91.22,9.318833652,1
Hf,cr,WEP+82,178.49,10.41108987,1
Sc,cr,WEP+82,44.956,8.2791587,1
Y,cr,WEP+82,88.905,10.61902486,1
Lu,cr,WEP+82,174.97,12.17973231,1
Yb,cr,WEP+82,173.04,14.30927342,1
Tm,cr,WEP+82,168.934,17.68881453,1
Er,cr,WEP+82,167.26,17.49043977,1
Ho,cr,WEP+82,164.93,17.99713193,1
Dy,cr,WEP+82,162.5,17.87045889,1
Tb,cr,WEP+82,158.924,17.5,1
Gd,cr,WEP+82,157.25,16.26912046,1
Eu,cr,WEP+82,151.96,18.58986616,1
Sm,cr,WEP+82,150.35,16.63001912,1
Pm,cr,WEP+82,146.915,,1
Nd,cr,WEP+82,144.24,17.08891013,1
Pr,cr,WEP+82,140.907,17.49521989,1
Ce,cr,WEP+82,140.12,17.208413,1
La,cr,WEP+82,138.91,13.59942639,1
U,cr,WEP+82,238.029,12.00047801,1
Pa,cr,WEP+82,231.0359,12.40439771,1
Th,cr,WEP+82,232.0381,12.76051625,1
Ac,cr,WEP+82,227.028,13.50382409,1
Be,cr,WEP+82,9.0122,2.270554493,1
Mg,cr,WEP+82,24.312,7.810707457,1
Ca,cr,WEP+82,40.08,9.899617591,1
Sr,cr,WEP+82,87.62,12.5,1
Ba,cr,WEP+82,137.34,15.00956023,1
Ra,cr,WEP+82,226.025,16.96940727,1
Li,cr,WEP+82,6.941,6.959847036,1
Na,cr,WEP+82,22.9898,12.23948375,1
K,cr,WEP+82,39.102,15.33938815,1
Rb,cr,WEP+82,85.4678,18.35086042,1
Cs,cr,WEP+82,132.9054,20.37045889,1
Fr,cr,WEP+82,223,22.80114723,1
Pu,cr,THBC14,,13.01625,1
Am,cr,THBC14,223,13.24092,1
Np,cr,THBC14,,12.06023,1
Cm,cr,THBC14,,16.92161,1
