key,author,year,citation,note,URL
AH97b,J. P. Amend and H. C. Helgeson,1997,"J. Chem. Soc., Faraday Trans. 93, 1927-1941",amino acids GHS,https://doi.org/10.1039/A608126F
AP01,J. P. Amend and A. V. Plyasunov,2001,"Geochim. Cosmochim. Acta 65, 3901-3917",carbohydrates,https://doi.org/10.1016/S0016-7037(01)00707-4
BKK77,"I. Barin, O. Knacke and O. Kubaschewski",1977,Thermochemical Properties of Inorganic Substances: Supplement,willemite Cp,https://www.worldcat.org/oclc/695258
CS16,P. A. Canovas III and E. L. Shock,2016,"Geochim. Cosmochim. Acta 195, 293-322",citric acid cycle metabolites,https://doi.org/10.1016/j.gca.2016.08.028
CS16.1,P. A. Canovas III and E. L. Shock,2016,"Geochim. Cosmochim. Acta 195, 293-322",citric acid species HKF a1--a4 parameters,https://doi.org/10.1016/j.gca.2016.08.028
DLH06.1,"J. M. Dick, D. E. LaRowe and H. C. Helgeson",2006,"Biogeosciences 3, 311-336",amino acids HKF parameters,https://doi.org/10.5194/bg-3-311-2006
DLH06.3,"J. M. Dick, D. E. LaRowe and H. C. Helgeson",2006,"Biogeosciences 3, 311-336","glycine, [Gly], and [UPBB] HKF parameters",https://doi.org/10.5194/bg-3-311-2006
DLH06.4,"J. M. Dick, D. E. LaRowe and H. C. Helgeson",2006,"Biogeosciences 3, 311-336",methionine HKF parameters,https://doi.org/10.5194/bg-3-311-2006
GKL02,R. N. Goldberg et al.,2002,"J. Phys. Chem. Ref. Data 31, 231-370","glycine, diglycine, and triglycine (+1 and -1 ions) GHS",https://doi.org/10.1063/1.1416902
HDNB78,"H. C. Helgeson, J. M. Delany et al.",1978,"Am. J. Sci. 278A, 1-229",data for minerals and phase transitions,https://www.worldcat.org/oclc/13594862
HDNB78.1,"H. C. Helgeson, J. M. Delany et al.",1978,"Am. J. Sci. 278A, 1-229","litharge S, V, and Cp parameters",https://www.worldcat.org/oclc/13594862
HDNB78.2,"H. C. Helgeson, J. M. Delany et al.",1978,"Am. J. Sci. 278A, 1-229",celestite V and Cp parameters,https://www.worldcat.org/oclc/13594862
Hel85,H. C. Helgeson,1985,"Am. J. Sci. 285, 845-855",ferrosilite and siderite,https://doi.org/10.2475/ajs.285.9.845
HSS95,"J. R. Haas, E. L. Shock and D. C. Sassani",1995,"Geochim. Cosmochim. Acta 59, 4329-4350",complexes of rare earth elements,https://doi.org/10.1016/0016-7037(95)00314-P
JH85,K. J. Jackson and H. C. Helgeson,1985,"Econ. Geol. 80, 1365-1378",Sn minerals,https://doi.org/10.2113/gsecongeo.80.5.1365
Kel60,K. K. Kelley,1960,U. S. Bureau of Mines Bull. 584,gases Cp,https://www.worldcat.org/oclc/693388901
Kel60.2,K. K. Kelley,1960,U. S. Bureau of Mines Bull. 584,iron Cp,https://www.worldcat.org/oclc/693388901
Kel60.3,K. K. Kelley,1960,U. S. Bureau of Mines Bull. 584,gypsum Cp,https://www.worldcat.org/oclc/693388901
Kit14,N. Kitadai,2014,"J. Mol. Evol. 78, 171-187","glycine, diglycine, and triglycine (zwitterions and ions); diketopiperazine, [Gly] and [UPBB] groups",https://doi.org/10.1007/s00239-014-9616-1
Kit15,N. Kitadai,2015,"Origins Life Evol. Biospheres 45, 377-409",charged amino acids,https://doi.org/10.1007/s11084-015-9428-3
LA16,D. E. LaRowe and J. P. Amend,2016,"ISME J. 10, 1285-1295","fatty acids, saccharides, and other species",https://doi.org/10.1038/ismej.2015.227
LCT17,"A. R. Lowe, J. S. Cox and P. R. Tremaine",2017,"J. Chem. Thermodynamics 112, 129-145",adenine HKF parameters,https://doi.org/10.1016/j.jct.2017.04.005
LD12.2,D. E. LaRowe and J. M. Dick,2012,"Geochim. Cosmochim. Acta 80, 70-91",methionine GHS,https://doi.org/10.1016/j.gca.2011.11.041
LH06a,D. E. LaRowe and H. C. Helgeson,2006,"Geochim. Cosmochim. Acta 70, 4680-4724","nucleic-acid bases, nucleosides, and nucleotides",https://doi.org/10.1016/j.gca.2006.04.010
LH06a.1,D. E. LaRowe and H. C. Helgeson,2006,"Geochim. Cosmochim. Acta 70, 4680-4724",citric acid and citrate,https://doi.org/10.1016/j.gca.2006.04.010
LH06b,D. E. LaRowe and H. C. Helgeson,2006,"Thermochim. Acta 448, 82-106","Mg-complexed adenosine nucleotides (ATP), NAD, and NADP",https://doi.org/10.1016/j.tca.2006.06.008
LS20,J. A. M. Leong and E. L. Shock,2020,"American Journal of Science, 320(3), 185-235","Fe-brucite, minnesotaite, Mg-cronstedtite, hisingerite",https://ajsonline.org/article/65783.pdf
LX20,Liu and Xiao,2020,Chemical Geology 584: 120488,huebnerite Cp,10.1016/j.oregeorev.2019.103289
MGN03,"J. Majzlan, K.-D. Grevel and A. Navrotsky",2003,"Am. Mineral. 88, 855-859","goethite, lepidocrocite, and maghemite GHS",https://doi.org/10.2138/am-2003-5-614
MS97,T. M. McCollom and E. L. Shock,1997,"Geochim. Cosmochim. Acta 61, 4375-4391","MgSO4, NaSO4-, and HCl",https://doi.org/10.1016/S0016-7037(97)00241-X
MS97.1,T. M. McCollom and E. L. Shock,1997,"Geochim. Cosmochim. Acta 61, 4375-4391",sulfur,https://doi.org/10.1016/S0016-7037(97)00241-X
MS97.2,T. M. McCollom and E. L. Shock,1997,"Geochim. Cosmochim. Acta 61, 4375-4391",aqueous HCl,https://doi.org/10.1016/S0016-7037(97)00241-X
MS99,W. M. Murphy and E. L. Shock,1999,"Rev. Mineral. Geochem. 38, 221-253",actinides,http://rimg.geoscienceworld.org/content/38/1/221
Nor13,D. K. Nordstrom,2013,"Proced. Earth Plan. Sc. 7, 624-627",portlandite,https://doi.org/10.1016/j.proeps.2013.03.140
OBIGT.1,J. M. Dick,2017,OBIGT database in CHNOSZ,GHS (Tr) of the phase that is stable at 298.15 K was combined with Htr and the Cp coefficients to calculate the metastable GHS (Tr) of the phases that are stable at higher temperatures.,http://chnosz.net
Pan70,L. B. Pankratz,1970,U. S. Bureau of Mines Report of Investigations 7430,chlorargyrite,https://www.worldcat.org/oclc/14154245
PB82,L. N. Plummer and E. Busenberg,1982,"Geochim. Cosmochim. Acta 46, 1011-1040",aragonite and calcite,https://doi.org/10.1016/0016-7037(82)90056-4
PK70,L. B. Pankratz and E. G. King,1970,U. S. Bureau of Mines Report of Investigations 7435,bornite and chalcopyrite,https://www.worldcat.org/oclc/14154292
PMW87.1,"L. B. Pankratz, A. D. Mah, and S. W. Watson",1987,"United States Department of the Interior, Bureau of Mines. (Bulletin; Vol. 689)",linnaeite,https://www.worldcat.org/oclc/16131757
