name,formula,date,tag,components,type,n_model_params,mp1,mp2,mp3,mp4,mp5,mp6,n_site_params,sp1,sp2,sp3,sp4,sp5,sp6
biotite,"k(mg,fe)3alsi3o10(oh)2",16-May-90,ideal,annite phlogopite,1,0,NA,NA,NA,NA,NA,NA,1,3,0,0,0,0,0
carbonate-calcite,"(ca,mn,zn,mg,fe,sr)co3",22-Dec-87,ideal,calcite magnesite rhodochrosite siderite smithsonite strontianite,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
chlorite-ss,"(fe,mg)5al2si3o10(oh)8",15-Aug-88,ideal,"clinochlore,14a daphnite,14a",1,0,NA,NA,NA,NA,NA,NA,1,5,0,0,0,0,0
epidote-ss,"ca2(fe,al)al2si3o12(oh)",16-Jul-90,ideal,clinozoisite epidote,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
garnet-ss,"ca3(al,fe)2si3o12",25-Jan-88,ideal,andradite grossular,1,0,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0
olivine,"(fe,mg)2sio4",25-Jan-88,regular,fayalite forsterite,3,1,0.469,0,0,0,0,0,1,2,0,0,0,0,0
ideal-olivine,"(fe,mg)2sio4",13-aug-93 TMM,ideal,fayalite forsterite,1,0,NA,NA,NA,NA,NA,NA,1,2,0,0,0,0,0
orthopyroxene,"(fe,mg)sio3",25-Jan-88,ideal,enstatite ferrosilite,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
clinopyroxene,"ca(fe,mg)si2o6",13-aug-93 TMM,ideal,diopside hedenbergite,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
ca-amphib.-binary,"ca2(fe,mg)5si8o22(oh)2",2-feb-1994 TMM,ideal,tremolite ferrotremolite,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
amphib.-ternary,"(na)ca2(fe,mg,al)5(al,si)8o22(oh)2",2-feb-1994 TMM,ideal,tremolite ferrotremolite pargasite,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
trem-parg-binary,"(na)ca2mg3(mg,al)2(al,si)8o22(oh)2",2-feb-1994 TMM,ideal,tremolite pargasite,1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
ideal-plagioclase,caal2si2o8-naalsi3o8,24-Feb-92,ideal,"albite,high anorthite",1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
"plagioclase,low",caal2si2o8-naalsi3o8,28-apr-1993 TMM,ideal,"albite,low anorthite",1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
plag.-cub.-mac.,caal2si2o8-naalsi3o8,9-nov-1993 TMM,cubic maclaurin,"albite,low anorthite",4,4,6.746,0,0,2.025,0,0,1,1,0,0,0,0,0
sanidine-ss,"(k,na)alsi3o8",24-Feb-92,ideal,"albite,high sanidine,high",1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
microcline-ss,"(k,na)alsi3o8",28-apr-1993 TMM,ideal,"albite,low microcline,maximum",1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
alk.-feldspar-ss,"(k,na)alsi3o8",13-may-1993 TMc,ideal,"albite,low K-feldspar",1,0,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0
alk-feld-bin-mar,"(k,na)alsi3o8",16-jun-1993 TMc,regular,"albite,low K-feldspar",4,3,4.496,2.462,0.087,6.525,2.462,0.087,1,1,0,0,0,0,0
feld-bin-marg-2,kalsi3o8-naalsi3o8,10-nov-1993 TMM,cubic maclaurin,"albite,low K-feldspar",4,4,7.404,5.2,0.086,4.078,0,0.086,1,1,0,0,0,0,0
