name,abbrv,formula,state,ref1,ref2,date,E_units,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T,azero,neutral_ion_type,dissrxn,tag,formula_ox,category_1,category_2
Li+,Li+,Li+,aq,SH88,NA,11/6/1997,cal,-69933,-66552,2.7,14.2,-0.87,-0.0237,-0.069,11.58,-2.7761,19.2,-0.24,0.4862,1,4,0,,basis,Li+,inorganic_aq,
Na+,Na+,Na+,aq,SH88,NA,11/6/1997,cal,-62591,-57433,13.96,9.06,-1.11,1.839,-2.285,3.256,-2.726,18.18,-2.981,0.3306,1,4,0,,basis,Na+,inorganic_aq,
K+,K+,K+,aq,SH88,NA,11/6/1997,cal,-67510,-60270,24.15,1.98,9.06,3.559,-1.473,5.435,-2.712,7.4,-1.791,0.1927,1,3,0,,basis,K+,inorganic_aq,
Rb+,Rb+,Rb+,aq,SH88,NA,11/6/1997,cal,-67800,-60020,28.8,-3,14.26,4.2913,-0.9041,7.407,-2.7416,5.7923,-3.6457,0.1502,1,4,0,,basis,Rb+ ,inorganic_aq,
Cs+,Cs+,Cs+,aq,SH88,NA,11/6/1997,cal,-69710,-61670,31.75,-6.29,21.42,6.1475,-0.1309,4.2094,-2.7736,6.27,-5.736,0.0974,1,4,0,,basis,Cs+ ,inorganic_aq,
Mg+2,Mg+2,Mg+2,aq,SH88,NA,11/6/1997,cal,-108505,-111367,-33,-5.34,-21.55,-0.8217,-8.599,8.39,-2.39,20.8,-5.892,1.5372,2,8,0,,basis,Mg+2,inorganic_aq,
Ca+2,Ca+2,Ca+2,aq,SH88,NA,11/6/1997,cal,-132120,-129800,-13.5,-7.53,-18.06,-0.1947,-7.252,5.2966,-2.4792,9,-2.522,1.2366,2,6,0,,basis,Ca+2,inorganic_aq,
Sr+2,Sr+2,Sr+2,aq,SH88,NA,11/6/1997,cal,-134760,-131670,-7.53,-10.05,-17.41,0.7071,-10.1508,7.0027,-2.3594,10.7452,-5.0818,1.1363,2,5,0,,basis,Sr+2 ,inorganic_aq,
Ba+2,Ba+2,Ba+2,aq,SH88,NA,11/6/1997,cal,-134030,-128500,2.3,-12.3,-12.6,2.7383,-10.0565,-0.047,-2.3633,3.8,-3.45,0.985,2,5,0,,basis,Ba+2 ,inorganic_aq,
HCO3-,HCO3-,HCO3-,aq,SH88,NA,11/6/1997,cal,-140282,-164898,23.53,-8.46,24.6,7.5621,1.1505,1.2346,-2.8266,12.9395,-4.7579,1.2733,-1,4,0,,basis,C+4 H+ 3O-2,required,
CO3-2,CO3-2,CO3-2,aq,SH88,NA,11/6/1997,cal,-126191,-161385,-11.95,-69.5,-5.02,2.8524,-3.9844,6.4142,-2.6143,-3.3206,-17.1917,3.3914,-2,5,0,-1.0000 CO3-2 -1.0000 H+ 1.0000 HCO3-,,C+4 3O-2,inorganic_aq,
Pb+2,Pb+2,Pb+2,aq,SH88,NA,11/6/1997,cal,-5710,220,4.2,-12.7,-15.6,-0.0051,-7.7939,8.8134,-2.4568,8.6624,-5.6216,1.0788,2,5,0,,basis,Pb+2 ,inorganic_aq,
NO3-,NO3-,NO3-,aq,SH88,NA,11/6/1997,cal,-26507,-49429,35.12,-16.4,29,7.3161,6.7824,-4.6838,-3.0594,7.7,-6.725,1.0977,-1,3,0,,basis,N+5 3O-2,inorganic_aq,
NO2-,NO2-,NO2-,aq,SH88,NA,11/6/1997,cal,-7700,-25000,29.4,-23.3,25,5.5864,5.859,3.4472,-3.0212,3.426,-7.7808,1.1847,-1,4,0,-1.0000 NO2- -0.5000 O2(g) 1.0000 NO3-,aux,N+3 2O-2,inorganic_aq,
NH4+,NH4+,NH4+,aq,SH88,NA,11/6/1997,cal,-18990,-31850,26.57,15.74,18.13,3.8763,2.3448,8.5605,-2.8759,17.45,-0.021,0.1502,1,3,0,-1.0000 NH4+ -2.0000 O2(g) 1.0000 H2O 1.0000 NO3- 2.0000 H+,aux,N-3 4H+,inorganic_aq,
H2PO4-,H2PO4-,H2PO4-,aq,SH88,NA,11/6/1997,cal,-270140,-309820,21.6,-7,31.3,6.4875,8.0594,2.5823,-3.1122,14.0435,-4.4605,1.3003,-1,4,0,-1.0000 H2PO4- 1.0000 H+ 1.0000 HPO4-2,,P+5 2H+ 4O-2,inorganic_aq,
HPO4-2,HPO4-2,HPO4-2,aq,SH88,NA,11/6/1997,cal,-260310,-308815,-8,-58.3,5.4,3.6315,1.0857,5.3233,-2.8239,2.7357,-14.9103,3.3363,-2,4,0,,basis,P+5 H+ 4O-2,inorganic_aq,
OH-,OH-,OH-,aq,SH88,NA,11/6/1997,cal,-37595,-54977,-2.56,-32.79,-4.18,1.2527,0.0738,1.8423,-2.7821,4.15,-10.346,1.7246,-1,3,0,-1.0000 OH- -1.0000 H+ 1.0000 H2O,,O-2 H+,required,
HS-,HS-,HS-,aq,SH88,NA,11/7/1997,cal,2860,-3850,16.3,-22.17,20.65,5.0119,4.9799,3.4765,-2.9849,3.42,-6.27,1.441,-1,3,0,-1.0000 HS- -2.0000 O2(g) 1.0000 H+ 1.0000 SO4-2,aux,S-2 H+,inorganic_aq,
HSO3-,HSO3-,HSO3-,aq,SH88,NA,11/7/1997,cal,-126130,-149670,33.4,-1.4,33.3,6.7014,8.5816,2.3771,-3.1338,15.6949,-3.3198,1.1233,-1,4,0,-1.0000 HSO3- 1.0000 SO3-2 1.0000 H+,,S+4 H+ 3O-2,inorganic_aq,
SO4-2,SO4-2,SO4-2,aq,SH88,NA,11/7/1997,cal,-177930,-217400,4.5,-64.38,13.88,8.3014,-1.9846,-6.2122,-2.697,1.64,-17.998,3.1463,-2,4,0,,basis,S+6 4O-2,inorganic_aq,
HSO4-,HSO4-,HSO4-,aq,SH88,NA,11/7/1997,cal,-180630,-212500,30,5.3,35.2,6.9788,9.259,2.1108,-3.1618,20.0961,-1.955,1.1748,-1,4,0,-1.0000 HSO4- 1.0000 H+ 1.0000 SO4-2,,S+6 H+ 4O-2,inorganic_aq,
S2O3-2,S2O3-2,S2O3-2,aq,SH88,NA,11/7/1997,cal,-124900,-155000,16,-57.3,28.5,6.6685,12.4951,-7.7281,-3.2955,-0.0577,-14.7066,2.9694,-2,4,0,-1.0000 S2O3-2 -2.0000 O2(g) -1.0000 H2O 2.0000 H+ 2.0000 SO4-2,aux,2S+2 3O-2,inorganic_aq,
S2O8-2,S2O8-2,S2O8-2,aq,SH88,NA,11/7/1997,cal,-266500,-321400,58.4,-25,79,13.3622,24.8454,-4.0153,-3.8061,12.9632,-8.1271,2.3281,-2,4,0,-1.0000 S2O8-2 2.5000 O2(g) 1.0000 S2O3-2,aux,2S+7 8O-2,inorganic_aq,
F-,F-,F-,aq,SH88,NA,11/7/1997,cal,-67340,-80150,-3.15,-27.23,-1.32,0.687,1.3588,7.6033,-2.8352,4.46,-7.488,1.787,-1,4,0,,basis,F-,inorganic_aq,
Cl-,Cl-,Cl-,aq,SH88,NA,11/7/1997,cal,-31379,-39933,13.56,-29.44,17.79,4.032,4.801,5.563,-2.847,-4.4,-5.714,1.456,-1,3,0,,basis,Cl-,required,
ClO3-,ClO3-,ClO3-,aq,SH88,NA,11/7/1997,cal,-1900,-24850,38.8,-12.3,36.9,7.1665,9.7172,1.9307,-3.1807,8.5561,-5.5401,1.0418,-1,4,0,-1.0000 ClO3- 1.0000 Cl- 1.5000 O2(g),aux,Cl+5 3O-2,inorganic_aq,
Br-,Br-,Br-,aq,SH88,NA,11/7/1997,cal,-24870,-29040,19.8,-30.42,24.85,5.269,6.594,4.745,-3.143,-3.8,-6.811,1.3858,-1,4,0,,basis,Br- ,inorganic_aq,
BrO3-,BrO3-,BrO3-,aq,SH88,NA,11/7/1997,cal,4450,-16030,38.65,-20.6,35.4,6.9617,9.2173,2.1272,-3.16,3.7059,-7.2308,1.0433,-1,4,0,-1.0000 BrO3- 1.0000 Br- 1.5000 O2(g),aux,Br+5 3O-2,inorganic_aq,
I-,I-,I-,aq,SH88,NA,11/7/1997,cal,-12410,-13600,25.5,-28.25,36.31,7.7623,8.2762,1.4609,-3.1211,-6.27,-4.944,1.2934,-1,3,0,,basis,I- ,inorganic_aq,
IO3-,IO3-,IO3-,aq,SH88,NA,11/7/1997,cal,-30600,-52900,28.3,-16.2,25.9,5.7148,6.1725,3.324,-3.0342,7.7293,-6.3345,1.2002,-1,4,0,-1.0000 IO3- 1.0000 I- 1.5000 O2(g),aux,I+5 3O-2,inorganic_aq,
Ni+2,Ni+2,Ni+2,aq,SH88,NA,11/7/1997,cal,-10900,-12900,-30.8,-11.7,-29,-1.6942,-11.9181,10.4344,-2.2863,13.1905,-5.4179,1.5067,2,4.5,0,,basis,Ni+2 ,inorganic_aq,
Cd+2,Cd+2,Cd+2,aq,SH88,NA,11/7/1997,cal,-18560,-18140,-17.4,-3.5,-15.6,0.0537,-10.708,16.5176,-2.3363,15.6573,-3.7476,1.2528,2,4.5,0,,basis,Cd+2 ,inorganic_aq,
La+3,La+3,La+3,aq,SH88,NA,11/7/1997,cal,-164000,-169600,-52,-37.2,-38.6,-2.788,-14.3824,10.9602,-2.1844,4.2394,-10.6122,2.1572,3,9,0,,basis,La+3 ,inorganic_aq,
Nd+3,Nd+3,Nd+3,aq,SH88,NA,11/7/1997,cal,-160600,-166500,-49.5,-43.2,-43.1,-3.3707,-14.5452,8.3211,-2.1777,1.6236,-11.8344,2.255,3,5,0,,basis,Nd+3 ,inorganic_aq,
Sm+3,Sm+3,Sm+3,aq,SH88,NA,11/7/1997,cal,-159100,-165200,-50.7,-43.3,-42,-3.2065,-15.6108,11.8857,-2.1337,1.9385,-11.8548,2.2955,3,5,0,,basis,Sm+3 ,inorganic_aq,
Eu+3,Eu+3,Eu+3,aq,SH88,NA,11/7/1997,cal,-137300,-144700,-53,-36.6,-41.3,-3.1037,-15.3599,11.7871,-2.144,6.0548,-10.49,2.3161,3,4.5,0,-1.0000 Eu+3 -0.5000 H2O 1.0000 Eu+2 1.0000 H+ 0.2500 O2(g),aux,Eu+3 ,inorganic_aq,
Gd+3,Gd+3,Gd+3,aq,SH88,NA,11/7/1997,cal,-158600,-164200,-49.2,-35.9,-40.4,-2.9771,-15.0506,11.6656,-2.1568,6.5606,-10.3474,2.3265,3,5,0,,basis,Gd+3 ,inorganic_aq,
Dy+3,Dy+3,Dy+3,aq,SH88,NA,11/7/1997,cal,-158700,-166500,-55.2,-31.7,-40.7,-3.0003,-15.1074,11.6879,-2.1545,9.5076,-9.4919,2.3792,3,5,0,,basis,Dy+3 ,inorganic_aq,
Ho+3,Ho+3,Ho+3,aq,SH88,NA,11/7/1997,cal,-161400,-169000,-54.3,-33.3,-41.6,-3.1198,-15.3992,11.8026,-2.1424,8.6686,-9.8178,2.3899,3,5,0,,basis,Ho+3 ,inorganic_aq,
Er+3,Er+3,Er+3,aq,SH88,NA,11/7/1997,cal,-159900,-168500,-58.3,-34.3,-43,-3.3041,-15.8492,11.9794,-2.1238,8.2815,-10.0215,2.4115,3,5,0,,basis,Er+3 ,inorganic_aq,
Tm+3,Tm+3,Tm+3,aq,SH88,NA,11/7/1997,cal,-159900,-168500,-58.1,-34.3,-43,-3.2967,-15.8312,11.9724,-2.1245,8.4826,-10.0215,2.4333,3,5,0,,basis,Tm+3 ,inorganic_aq,
Yb+3,Yb+3,Yb+3,aq,SH88,NA,11/7/1997,cal,-153000,-160300,-56.9,-36.4,-44.6,-3.4983,-16.3233,12.1658,-2.1042,7.3533,-10.4493,2.4443,3,5,0,,basis,Yb+3 ,inorganic_aq,
Lu+3,Lu+3,Lu+3,aq,SH88,NA,11/7/1997,cal,-159400,-167900,-63.1,-32,-45,-3.563,-16.4812,12.2279,-2.0977,9.565,-9.716,2.4554,3,5,0,,basis,Lu+3 ,inorganic_aq,
BO2-,BO2-,BO2-,aq,SH88,NA,11/6/1997,cal,-162240,-184600,-8.9,-41,-14.5,-2.2428,-6.2065,-6.3216,-2.5224,-1.6521,-11.3863,1.7595,-1,4,0,-1.0000 BO2- -1.0000 H+ -1.0000 H2O 1.0000 B(OH)3,,B+3 2O-2,inorganic_aq,
BF4-,BF4-,BF4-,aq,SH88,NA,2/16/1988,cal,-355400,-376400,43,-5.6,43,7.9796,11.7027,1.1504,-3.2628,11.8941,-4.1753,0.9779,-1,4,0,-1.0000 BF4- -3.0000 H2O 1.0000 B(OH)3 3.0000 H+ 4.0000 F-,,B+3 4F-,inorganic_aq,
SiF6-2,SiF6-2,SiF6-2,aq,SH88,NA,2/16/1988,cal,-525700,-571000,29.2,-47.1,42.6,8.5311,13.0492,0.6211,-3.3185,4.097,-12.6289,2.7716,-2,4,0,-1.0000 SiF6-2 -2.0000 H2O 1.0000 SiO2 4.0000 H+ 6.0000 F-,aux,Si+4 6F-,inorganic_aq,
