name,abbrv,formula,state,ref1,ref2,date,logK1,logK2,logK3,logK4,logK5,logK6,logK7,logK8,T1,T2,T3,T4,T5,T6,T7,T8,P1,P2,P3,P4,P5,P6,P7,P8,azero,dissrxn,tag,formula_ox,category_1
MoO3S-2,,MoO3S-2,aq,LEMGTB20,EH99,10/24/2022,-5.67,-5.19,-4.64,-4.15,-3.66,-3.27,-2.96,-2.7,0,25,60,100,150,200,250,300,psat,psat,psat,psat,psat,psat,psat,psat,4,-1.0000 MoO3S-2 -1.0000 H2O 1.0000 MoO4-2 1.0000 H2S,aux,Mo+6 S-2 3O-2,inorganic_aq
MoO2S2-2,,MoO2S2-2,aq,LEMGTB21,EH99,10/24/2022,-5.24,-4.8,-4.3,-3.84,-3.38,-3.02,-2.74,-2.5,0,25,60,100,150,200,250,300,psat,psat,psat,psat,psat,psat,psat,psat,4,-1.0000 MoO2S2-2 -1.0000 H2O 1.0000 MoO3S-2 1.0000 H2S,aux,Mo+6 2S-2 2O-2,inorganic_aq
MoOS3-2,,MoOS3-2,aq,LEMGTB22,EH99,10/24/2022,-5.46,-5,-4.47,-4,-3.52,-3.15,-2.86,-2.6,0,25,60,100,150,200,250,300,psat,psat,psat,psat,psat,psat,psat,psat,4,-1.0000 MoOS3-2 -1.0000 H2O 1.0000 MoO2S2-2 1.0000 H2S,aux,Mo+6 3S-2 O-2,inorganic_aq
MoS4-2,,MoS4-2,aq,LEMGTB23,EH99,10/24/2022,-5.33,-4.88,-4.37,-3.9,-3.44,-3.08,-2.78,-2.56,0,25,60,100,150,200,250,300,psat,psat,psat,psat,psat,psat,psat,psat,4,-1.0000 MoS4-2 -1.0000 H2O 1.0000 MoOS3-2 1.0000 H2S,,Mo+6 4S-2,inorganic_aq
Pb3(PO4)2,,Pb3(PO4)2,cr,thermodat,,11/9/2022,-19.8584,-19.666,-19.7318,-19.9412,-20.336,-20.9263,,,0,25,60,100,150,200,,,psat,psat,psat,psat,psat,psat,,,,-1.0000 Pb3(PO4)2 -2.0000 H+ 3.0000 Pb+2 2.0000 HPO4-2,,3Pb+2 2P+5 8O-2,inorganic_cr
Pb3(AsO4)2,,Pb3(AsO4)2,cr,thermodat,,11/9/2022,-35.8502,-35.3841,-35.3098,-35.5516,-35.9788,-36.6523,,,0,25,60,100,150,200,,,psat,psat,psat,psat,psat,psat,,,,-1.0000 Pb3(AsO4)2 3.0000 Pb+2 2.0000 AsO4-3,,3Pb+2 2As+5 8O-2,inorganic_cr
PbHPO4(cr),,PbHPO4,cr,thermodat,,11/9/2022,-11.4287,-11.4287,,,,,,,0,25,,,,,,,psat,psat,,,,,,,,-1.0000 PbHPO4(cr) 1.0000 Pb+2 1.0000 HPO4-2,,Pb+2 H+ P+5 4O-2,inorganic_cr
PbHPO4,,PbHPO4,aq,thermodat,,11/9/2022,-3.0998,-3.0998,,,,,,,0,25,,,,,,,psat,psat,,,,,,,4,-1.0000 PbHPO4 1.0000 Pb+2 1.0000 HPO4-2,,Pb+2 H+ P+5 4O-2,inorganic_aq
PbH2PO4+,,PbH2PO4+,aq,thermodat,,11/9/2022,-8.7049,-8.7049,,,,,,,0,25,,,,,,,psat,psat,,,,,,,4,-1.0000 PbH2PO4+ 1.0000 Pb+2 1.0000 HPO4-2 1.0000 H+,,Pb+2 2H+ P+5 4O-2,inorganic_aq
PbPO4-,,PbPO4-,aq,thermodat,,11/9/2022,5.91,5.91,,,,,,,0,25,,,,,,,psat,psat,,,,,,,4,-1.0000 PbPO4- 1.0000 Pb+2 1.0000 HPO4-2 -1.0000 H+,,Pb+2 P+5 4O-2,inorganic_aq
